term,coef
aptitude,3.9708907665862547
money,3.8119820369491997
earn,3.381436712531223
financing,3.2801835857910144
link,3.1098971803929367
data entry,2.885594978389188
information security,2.844647839729499
email,2.805514192109262
signing,2.766526146689189
industry,2.7217635602950283
high school,2.7039994016696793
cf,2.6918299502810994
staffing,2.5368357108618227
leveraging,2.5231853988716146
bonus,2.5069197078837395
compensation package,2.4985383826026357
encouraged,2.490920160828815
engineering,2.4849997618129405
cash,2.4765433237122507
subsea,2.4655460250915584
