term,coef
team,-3.0632496440460666
companies,-2.597306514910431
growing,-2.1609871496700244
based,-2.138434885551761
search,-2.125208816724243
english,-2.1038397523975942
digital,-2.071303867137041
recruitment,-1.8898831111378473
client,-1.8617424559464844
php,-1.8067700419264379
clients,-1.641279831095132
web,-1.634539122599715
join team,-1.6307638991492173
care,-1.6248723556132623
successful,-1.5973398775412004
fun,-1.594773976593978
exceptional,-1.5825212846897192
delivery,-1.5787401882948395
years experience,-1.5648302548466704
sector,-1.5466170728493367
